Freq[Hz]     dBSPL  Phase[Deg]
16491.4     40.486  -174.431
16731.3     41.116  -173.151
16974.7     41.654  -173.502
17221.6     42.032  -175.219
17472.1     42.191  -177.854
17726.2     42.102   179.286
17984.0     41.795   176.781
18245.6     41.279   175.203
18511.0     40.647   175.007
18780.2     40.004   176.248
19053.4     39.445   178.721
19330.5     39.083  -178.028
19611.7     38.973  -174.683
19897.0     39.050  -171.873
20186.4     39.217  -169.875
20480.0     39.389  -168.642
20777.9     39.533  -168.026
21080.1     39.615  -167.828
21386.7     39.632  -167.809
21697.8     39.602  -167.763
22013.4     39.535  -167.589
22333.6     39.455  -167.237
22658.4     39.380  -166.668
22988.0     39.334  -165.907
23322.4     39.340  -165.092
23661.6     39.391  -164.369
24005.8     39.483  -163.792
24355.0     39.599  -163.461
24709.2     39.724  -163.378
25068.6     39.855  -163.547
25433.2     39.965  -163.900
25803.2     40.068  -164.407
26178.5     40.156  -164.991
26559.3     40.228  -165.584
26945.6     40.329  -166.149
27337.5     40.447  -166.853
27735.2     40.581  -167.705
28138.6     40.719  -168.750
28547.9     40.845  -169.951
28963.1     40.958  -171.193
29384.4     41.069  -172.378
29811.8     41.223  -173.461
30245.4     41.450  -174.562
30685.3     41.775  -175.847
31131.7     42.227  -177.605
31584.5     42.781   179.792
32043.9     43.407   176.031
32510.0     44.061   170.781
32982.8     44.671   163.773
33462.6     45.166   154.741
33949.3     45.400   143.608
34443.1     45.208   131.103
34944.1     44.565   118.290
35452.4     43.424   106.420
35968.0     41.756    96.838
36491.2     39.690    90.565
37022.0     37.435    87.845
37560.5     35.172    88.173
38106.8     33.133    90.432
38661.1     31.452    93.963
39223.4     30.274    96.734
39793.9     29.343    98.758
