Freq[Hz]     dBSPL  Phase[Deg]
33462.6     85.538     0.115
33949.3     85.538     0.113
34443.1     85.538     0.111
34944.1     85.538     0.110
35452.4     85.538     0.108
35968.0     85.538     0.107
36491.2     85.538     0.105
37022.0     85.538     0.104
37560.5     85.538     0.102
38106.8     85.538     0.101
38661.1     85.538     0.099
39223.4     85.538     0.098
39793.9     85.538     0.096
